ID	Latitude	Longitude
715898	33.880183	-118.021787
715900	33.882892	-118.026822
715901	33.8834	-118.027451
715903	33.886992	-118.034125
715904	33.892489	-118.044573
715905	33.894587	-118.048098
715906	33.900669	-118.059422
715907	33.903961	-118.064046
715908	33.911074	-118.071686
715910	33.913564	-118.075867
715911	33.916643	-118.079557
715912	33.917571	-118.080056
715913	33.920763	-118.082501
715918	33.93311	-118.091005
715920	33.938544	-118.094941
715923	33.956897	-118.110532
715924	33.957583	-118.111199
715925	33.958225	-118.11239
715926	33.95891	-118.113036
715927	33.9632	-118.1189
715928	33.963867	-118.11987
715929	33.971707	-118.123095
715930	33.971763	-118.122905
715932	33.97646	-118.125953
715933	33.981839	-118.130679
715935	33.986224	-118.136014
715937	33.994935	-118.14469
715938	34.002541	-118.150997
715941	34.007592	-118.157266
715944	34.013676	-118.166091
715947	34.015325	-118.17127
715949	34.020076	-118.181702
715950	34.020088	-118.189029
715952	34.020961	-118.195456
715953	34.021135	-118.195375
715957	34.029033	-118.217141
715958	34.041407	-118.218373
715959	34.047784	-118.214638
715961	34.057314	-118.214378
715963	34.069368	-118.217386
715964	34.080943	-118.22237
715966	34.083198	-118.228213
715967	34.086881	-118.233611
715968	34.095413	-118.243957
715969	34.094038	-118.242314
715970	34.108429	-118.258982
715971	34.111314	-118.264526
715972	34.120764	-117.88843
715973	34.118291	-118.270166
715974	34.162761	-118.294541
715975	34.163197	-118.29497
715976	34.164088	-118.295568
715977	34.165484	-118.29753
715978	34.167992	-118.301293
715979	34.168963	-118.302648
715980	34.17007	-118.303837
715981	34.170572	-118.30448
715982	34.179879	-118.312407
715983	34.184491	-118.316733
715984	34.186308	-118.319601
715985	34.187037	-118.320656
715986	34.19381	-118.330292
715987	34.193931	-118.330086
715988	34.200877	-118.339185
715989	34.200916	-118.339473
715990	34.211259	-118.347597
715991	34.212728	-118.349041
715992	34.221104	-118.358957
715993	34.221822	-118.364915
715994	34.222169	-118.3673
715995	34.225778	-118.375075
715996	34.243318	-118.42108
715997	34.226376	-118.385923
715998	34.227093	-118.389006
715999	34.226944	-118.389042
716000	34.231047	-118.401401
716001	34.231273	-118.40134
716002	34.23742	-118.414827
716003	34.244193	-118.42169
716004	34.245149	-118.422992
716005	34.24614	-118.423735
716006	34.249183	-118.427257
716007	34.341625	-118.526002
716008	34.358847	-118.554053
716009	34.364506	-118.555784
716010	34.368149	-118.55885
716011	34.378358	-118.565494
716012	34.408287	-118.576071
716013	34.408604	-118.576573
716014	34.420911	-118.582284
716015	34.424267	-118.58367
716016	34.431273	-118.588555
716017	34.43153	-118.588374
716018	34.454192	-118.615941
716019	34.458426	-118.615547
716020	34.495729	-118.623863
716021	34.497131	-118.624674
716026	34.117595	-117.844142
716028	34.055167	-118.216535
716029	34.031891	-118.416029
716030	34.031647	-118.41534
716032	34.030891	-118.411427
716033	34.029516	-118.403014
716035	34.031182	-118.390169
716036	34.034311	-118.384884
716038	34.036959	-118.379466
716039	34.036847	-118.379114
716040	34.036314	-118.374796
716041	34.03577	-118.371368
716043	34.034495	-118.366371
716044	34.033989	-118.353882
716045	34.034193	-118.348655
716046	34.03448	-118.348667
716047	34.034363	-118.345701
716050	34.034677	-118.339444
716051	34.035067	-118.331254
716054	34.036614	-118.31917
716055	34.03681	-118.315379
716057	34.036953	-118.313131
716058	34.037281	-118.311045
716059	34.037253	-118.306713
716060	34.036945	-118.306723
716061	34.037222	-118.302221
716063	34.037129	-118.296691
716064	34.037096	-118.294389
716065	34.036796	-118.289266
716066	34.037427	-118.282004
716067	34.054801	-118.211859
716069	34.053806	-118.208214
716071	34.053753	-118.205692
716072	34.05411	-118.203478
716074	34.055448	-118.19888
716075	34.055306	-118.192689
716076	34.055573	-118.192729
716078	34.055285	-118.185874
716081	34.059959	-118.174416
716084	34.061442	-118.167268
716085	34.061918	-118.162504
716086	34.063934	-118.160163
716087	34.065882	-118.155495
716088	34.066326	-118.155441
716089	34.068501	-118.151418
716090	34.069016	-118.149713
716091	34.071793	-118.143409
716092	34.071251	-118.141723
716093	34.071335	-118.135155
716094	34.071644	-118.135158
716095	34.071342	-118.133569
716096	34.071662	-118.133572
716097	34.071438	-118.123947
716098	34.071803	-118.123604
716099	34.071457	-118.122386
716100	34.071819	-118.12204
716101	34.071889	-118.117349
716103	34.071665	-118.10937
716104	34.072021	-118.108838
716105	34.07168	-118.107635
716106	34.072053	-118.107276
716107	34.071731	-118.100852
716108	34.072192	-118.100669
716109	34.071766	-118.098584
716110	34.072118	-118.09858
716111	34.071834	-118.091958
716112	34.072221	-118.091434
716113	34.07186	-118.089866
716114	34.072253	-118.089691
716115	34.071945	-118.082543
716116	34.072342	-118.082856
716117	34.072457	-118.074173
716118	34.072071	-118.074173
716119	34.072494	-118.07208
716120	34.072083	-118.071554
716121	34.072102	-118.06879
716124	34.072661	-118.059491
716126	34.071934	-118.051536
716127	34.069271	-118.044184
716128	34.06847	-118.040429
716129	34.068078	-118.030663
716130	34.067963	-118.027743
716131	34.068199	-118.025926
716132	34.06699	-118.019773
716133	34.063981	-118.008051
716134	34.064175	-118.008013
716135	34.066554	-117.990356
716136	34.067663	-117.981905
716137	34.06769	-117.980138
716138	34.067905	-117.979831
716139	34.069011	-117.971555
716140	34.070282	-117.960307
716141	34.07049	-117.959994
716142	34.117595	-117.844142
716143	34.120911	-117.829234
716144	34.072082	-117.94475
716145	34.072075	-117.943345
716146	34.072549	-117.935381
716148	34.072468	-117.92737
716149	34.0723	-117.927358
716150	34.072452	-117.925803
716151	34.072274	-117.924923
716152	34.072202	-117.917964
716153	34.072356	-117.917965
716154	34.072264	-117.909076
716155	34.072101	-117.908205
716156	34.072249	-117.907159
716157	34.072082	-117.906392
716158	34.072105	-117.891295
716159	34.072087	-117.889726
716160	34.071847	-117.888507
716161	34.072029	-117.882752
